User0,User1,User2,SL item đánh giá chung
315.0,639.0,34.0,5.0
397.0,204.0,112.0,4.0
647.0,549.0,572.0,7.0
654.0,177.0,642.0,8.0
653.0,352.0,292.0,6.0
323.0,603.0,458.0,2.0
164.0,521.0,404.0,7.0
551.0,255.0,196.0,5.0
509.0,575.0,215.0,14.0
315.0,156.0,623.0,4.0
71.0,478.0,57.0,7.0
545.0,334.0,104.0,9.0
490.0,116.0,580.0,8.0
620.0,107.0,100.0,5.0
536.0,313.0,312.0,7.0
292.0,626.0,13.0,1.0
256.0,225.0,101.0,8.0
547.0,555.0,541.0,10.0
122.0,566.0,606.0,6.0
179.0,367.0,470.0,5.0
68.0,405.0,526.0,10.0
199.0,7.0,519.0,10.0
240.0,473.0,20.0,7.0
84.0,377.0,38.0,4.0
38.0,337.0,388.0,5.0
500.0,226.0,198.0,9.0
419.0,95.0,44.0,12.0
225.0,238.0,373.0,12.0
524.0,523.0,627.0,7.0
128.0,290.0,617.0,9.0
628.0,151.0,99.0,9.0
9.0,154.0,102.0,6.0
611.0,352.0,297.0,10.0
169.0,273.0,609.0,2.0
271.0,20.0,295.0,11.0
464.0,192.0,409.0,9.0
345.0,204.0,419.0,12.0
602.0,133.0,246.0,7.0
267.0,197.0,166.0,7.0
100.0,344.0,189.0,7.0
112.0,513.0,502.0,11.0
434.0,143.0,569.0,9.0
523.0,204.0,628.0,7.0
450.0,582.0,384.0,8.0
357.0,412.0,86.0,11.0
78.0,622.0,267.0,10.0
101.0,577.0,485.0,6.0
383.0,439.0,600.0,12.0
453.0,496.0,177.0,7.0
253.0,97.0,250.0,5.0
326.0,550.0,463.0,5.0
140.0,657.0,661.0,6.0
317.0,425.0,472.0,2.0
50.0,141.0,382.0,10.0
660.0,392.0,569.0,11.0
620.0,486.0,408.0,12.0
276.0,329.0,131.0,4.0
228.0,114.0,578.0,7.0
258.0,478.0,507.0,3.0
647.0,345.0,77.0,4.0
134.0,371.0,241.0,11.0
660.0,563.0,652.0,13.0
117.0,90.0,91.0,5.0
58.0,236.0,510.0,11.0
431.0,438.0,322.0,9.0
175.0,369.0,478.0,9.0
415.0,515.0,177.0,8.0
468.0,317.0,272.0,7.0
264.0,131.0,52.0,10.0
144.0,617.0,328.0,5.0
187.0,259.0,44.0,6.0
74.0,234.0,145.0,3.0
110.0,630.0,363.0,5.0
26.0,96.0,376.0,11.0
225.0,488.0,312.0,7.0
38.0,70.0,296.0,9.0
577.0,235.0,646.0,6.0
490.0,272.0,111.0,9.0
99.0,341.0,128.0,4.0
83.0,199.0,175.0,10.0
329.0,161.0,44.0,11.0
594.0,222.0,603.0,8.0
258.0,540.0,286.0,9.0
348.0,462.0,304.0,9.0
209.0,324.0,326.0,9.0
656.0,235.0,60.0,5.0
347.0,152.0,225.0,9.0
397.0,472.0,149.0,7.0
379.0,631.0,108.0,3.0
210.0,325.0,366.0,6.0
158.0,295.0,198.0,8.0
343.0,403.0,239.0,6.0
25.0,338.0,416.0,4.0
158.0,609.0,62.0,10.0
98.0,608.0,560.0,8.0
214.0,61.0,261.0,5.0
411.0,506.0,412.0,8.0
80.0,491.0,20.0,4.0
329.0,302.0,327.0,4.0
437.0,458.0,626.0,3.0
641.0,531.0,642.0,10.0
55.0,661.0,200.0,11.0
202.0,637.0,463.0,9.0
488.0,223.0,224.0,6.0
154.0,291.0,419.0,7.0
59.0,434.0,42.0,4.0
441.0,394.0,610.0,7.0
249.0,565.0,561.0,5.0
401.0,58.0,653.0,6.0
