,User 0,User 1,User 2,User 3,precisionG,recallG,fscoreG,T,C,Quantity
440,248,609,510,374,0.648648649,1,0.786885246,24,37,1277
441,314,479,531,200,0.755555556,1,0.860759494,34,45,1316
442,646,587,90,295,0.769230769,1,0.869565217,30,39,1326
443,377,196,316,119,0.74,1,0.850574713,37,50,1341
444,287,541,194,517,0.714285714,1,0.833333333,20,28,1279
445,242,316,212,480,0.7,1,0.823529412,28,40,1350
446,31,382,487,300,0.6,1,0.75,21,35,1287
447,596,564,222,390,0.795454545,1,0.886075949,35,44,1292
448,603,244,361,183,0.756756757,1,0.861538462,28,37,1259
449,139,154,111,332,0.825,1,0.904109589,33,40,1282
450,498,614,314,304,0.666666667,1,0.8,28,42,1281
